Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12,Feature13,Tumor_type
0.2333,0.1284,0.7491,0.9308,0.0019,0.0898,2.6632,0.0898,0.0081,0.8778,7.2707,0.6117,-0.0366,0
0.2717,0.0931,0.7686,0.9308,0.0024,0.0898,3.2698,0.0898,0.0081,0.8974,7.9567,0.8862,0.4926,0
0.2272,0.1326,0.7439,0.929,0.0043,0.0897,3.6046,0.0898,0.008,0.9406,5.9972,0.5218,0.97,0
0.2442,0.1007,0.7409,0.9263,0.0032,0.0898,3.5797,0.0898,0.008,0.9234,6.2735,0.6332,0.5257,0
0.2033,0.1126,0.7554,0.9331,0.0019,0.0898,0.06549,0.0898,0.008,0.8783,5.8117,0.3408,1.001,0
0.2558,0.0895,0.7557,0.9314,0.0025,0.0898,3.0756,0.0898,0.0081,0.904,7.7971,0.5774,-0.2601,0
0.2155,0.0951,0.7378,0.9274,0.0028,0.0898,3.6283,0.0898,0.008,0.9132,5.3238,0.323,1.0419,0
0.2925,0.1584,0.7588,0.933,0.0057,0.0896,2.6622,0.0898,0.008,0.9551,13.0402,1.3124,1.2778,0
0.2341,0.1321,0.753,0.9315,0.0035,0.0897,3.1562,0.0898,0.008,0.9291,7.4848,0.5212,-1.0392,0
0.2689,0.0977,0.7861,0.941,0.00068,0.0898,2.7465,0.0898,0.0081,0.7186,10.9703,0.7365,0.119,0
0.2433,0.1294,0.7606,0.9344,0.0034,0.0897,2.9949,0.0898,0.0081,0.927,7.6801,0.6318,0.3816,1
0.2272,0.1326,0.7439,0.929,0.0043,0.0897,3.6046,0.0898,0.008,0.9406,5.9972,0.5218,0.37,1
0.275,0.118,0.7688,0.9346,0.0046,0.0897,3.029,0.0898,0.0081,0.9453,13.1839,1.0085,0.2863,1
0.2272,0.0908,0.7522,0.9308,0.0034,0.0897,3.6783,0.0898,0.008,0.927,5.5966,0.4004,1.0469,1
0.2517,0.0734,0.7402,0.9267,0.0035,0.0897,3.5239,0.0898,0.008,0.9284,6.522,0.4979,1.6524,1
0.2439,0.1072,0.731,0.9246,0.0046,0.0897,3.5484,0.0898,0.0081,0.9446,6.5235,0.6204,0.503,1
0.2925,0.1584,0.7588,0.933,0.0057,0.0896,2.6622,0.0898,0.008,0.9551,13.0402,1.3124,1.2778,1
0.2425,0.113,0.77,0.94,0.0034,0.0896,3,0.0898,0.008,0.93,7.589,0.78,0.4,1
